lemma,lila_id,wr,phon
quaero,lilaLemma:121047,quaero,quaerō
quaero,lilaLemma:121047,quaerere,quaerĕre
quaero,lilaLemma:121047,quaesii,quaesĭī
quaero,lilaLemma:121047,quaesitum,quaesītum
quaero,lilaLemma:121047,quaesivi,quaesīvī
qui,lilaLemma:121354,quocum,quōcum
qui,lilaLemma:121354,quoi,quoī
qui,lilaLemma:121354,qui,quī
qui,lilaLemma:121354,quod,quŏd
qui,lilaLemma:121354,qui,quī
qui,lilaLemma:121354,cui,cuī
quia,lilaLemma:121166,quia,quĭă
quidam,lilaLemma:121313,quidam,quīdam
quidam,lilaLemma:121313,quidam,quīdam
quidem,lilaLemma:121168,quidem,quĭdem
quis,lilaLemma:121165,quis,quĭs
quis,lilaLemma:121165,quid,quĭd
quis,lilaLemma:121165,quod,quŏd
quis,lilaLemma:121165,quisque,quisquĕ
quisquam,lilaLemma:121315,quisquam,quisquăm
quisquam,lilaLemma:121315,quaequam,quaequăm
quisquam,lilaLemma:121315,quidquam,quidquăm
quisque,lilaLemma:121320,quisque,quisquĕ
quisque,lilaLemma:121320,quaeque,quaequĕ
quisque,lilaLemma:121320,quidque,quidquĕ
quod,lilaLemma:74854,quod,quŏd
ratio,lilaLemma:121458,ratio,rătĭō
ratio,lilaLemma:121458,ratio,rătĭō
ratio,lilaLemma:121458,ratio,rătĭō
ratio,lilaLemma:121458,rationis,rătĭōnis
refero,lilaLemma:122494,refero,rĕfĕrō
refero,lilaLemma:122494,refero,rĕfĕrō
refero,lilaLemma:122494,refers,rĕfers
refero,lilaLemma:122494,referre,rĕferre
refero,lilaLemma:122494,retuli,rĕtŭlī
refero,lilaLemma:122494,relatum,rĕlātum
refero,lilaLemma:122494,retuli,rĕtŭlī
relinquo,lilaLemma:122569,relinquo,rĕlinquō
relinquo,lilaLemma:122569,relinquis,rĕlinquis
relinquo,lilaLemma:122569,relinquere,rĕlinquĕre
relinquo,lilaLemma:122569,reliqui,rĕlīquī
relinquo,lilaLemma:122569,relictum,rĕlictum
relinquo,lilaLemma:122569,reliqui,rĕlīquī
res,lilaLemma:121868,res,rēs
res,lilaLemma:121868,rei,reī
rex,lilaLemma:122013,regis,rēgis
romanus,lilaLemma:20302,Romanus,Rōmānus
romanus,lilaLemma:20302,Romana,Rōmāna
romanus,lilaLemma:20302,Romanum,Rōmānum
saepe,lilaLemma:123106,saepe,saepĕ
scio,lilaLemma:123732,scii,scĭī
scio,lilaLemma:123732,scio,scĭō
scio,lilaLemma:123732,scis,scīs
scio,lilaLemma:123732,scire,scīre
scio,lilaLemma:123732,scii,scĭī
scio,lilaLemma:123732,scitum,scītum
scio,lilaLemma:123732,scivi,scīvī
scribo,lilaLemma:123840,scribo,scrībō
scribo,lilaLemma:123840,scribis,scrībis
scribo,lilaLemma:123840,scribere,scrībĕre
scribo,lilaLemma:123840,scripsi,scrīpsī
scribo,lilaLemma:123840,scripsi,scripsī
sed,lilaLemma:123994,sed,sĕd
