"lemma","I a.C._Freq","I a.C._NormFreq","I d.C._Freq","I d.C._NormFreq","II d.C._Freq","II d.C._NormFreq","IV d.C._Freq","IV d.C._NormFreq","period_DP"
"parce",4,0.186176402141029,2,0.305950741930549,0,0,0,0,0.106740476017161
"parco",28,1.3032348149872,13,1.98867982254857,0,0,0,0,0.0904803134155345
"parcus",4,0.186176402141029,1,0.152975370965275,1,2.61780104712042,0,0,0.153425352379566
"parens",42,1.9548522224808,33,5.04818724185406,0,0,0,0,0.213407142683827
"parentalia",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"parentes",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"parento",1,0.0465441005352572,2,0.305950741930549,0,0,0,0,0.440073809350494
"pareo",53,2.46683732836863,10,1.52975370965275,0,0,0,0,0.0965325704364357
"paries",18,0.837793809634629,2,0.305950741930549,0,0,0,0,0.155262729166594
"parietinae",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"Parilia",3,0.139632301605771,0,0,0,0,0,0,0.255262729166594
"pario",22,1.02397021177566,9,1.37677833868747,0,0,0,0,0.0637297233289885
"Paris",2,0.0930882010705143,2,0.305950741930549,0,0,0,0,0.273407142683827
"parisii",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"pariter",9,0.418896904817314,13,1.98867982254857,0,0,0,0,0.364316233592918
"parius",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"Parma",1,0.0465441005352572,0,0,1,2.61780104712042,0,0,0.486758685712899
"parmenses",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"paro",90,4.18896904817314,48,7.34281780633318,1,2.61780104712042,1,2.24668613794653,0.11626428554097
"parochus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"parricida",15,0.698161508028857,3,0.458926112895824,0,0,0,0,0.0885960624999278
"parricidium",10,0.465441005352572,0,0,0,0,0,0,0.255262729166594
"pars",274,12.7530835466605,109,16.6743154352149,7,18.3246073298429,2,4.49337227589306,0.0560841957436652
